Title,Ingredients,Instructions,Yield,Time,Notes,Author,Source URL
Blackout Chocolate Banana Bread,"1. Nonstick vegetable oil spray
2. ¾ cup (94 g) all-purpose flour
3. ½ cup (57 g) whole wheat flour
4. ⅓ cup (28 g) unsweetened cocoa powder
5. 1¼ tsp. baking soda
6. ¾ tsp. baking powder
7. 1 tsp. Diamond Crystal or ½ tsp. Morton kosher salt
8. 5 large very ripe bananas, divided
9. 1 cup plus 2 Tbsp. (238 g) light brown sugar
10. 6 Tbsp. unsalted butter, room temperature
11. 2 large eggs
12. ⅓ cup sour cream
13. 1 tsp. vanilla extract
14. 4 oz. bittersweet chocolate, chopped
15. 1 Tbsp. demerara sugar","1. Place rack in lower third of oven; preheat oven to 350°. Lightly coat a 9x5"" loaf pan with nonstick cooking spray. Line bottom of pan with parchment paper, leaving a generous overhang on long sides.
2. Whisk ¾ cup (94 g) all-purpose flour, ½ cup (57 g) whole wheat flour, ⅓ cup (28 g) unsweetened cocoa powder, 1¼ tsp. baking soda, ¾ tsp. baking powder, and 1 tsp. Diamond Crystal or ½ tsp. Morton kosher salt in a medium bowl to combine, 30 seconds; set aside. Mash 4 large very ripe bananas with a potato masher or fork in a small mixing bowl until smooth and reserve.
3. Using an electric mixer on medium-high speed (or a stand mixer fitted with the paddle attachment), beat 1 cup plus 2 Tbsp. (238 g) light brown sugar and 6 Tbsp. unsalted butter, room temperature in a large bowl until light and fluffy, about 4–5 minutes. Add 2 large eggs one at a time and beat until incorporated, scraping down sides of bowl if needed. Reduce speed to medium-low, add ⅓ cup sour cream, 1 tsp. vanilla extract, and mashed bananas; beat until combined. The mixture may look grainy and broken at this point, but don’t fret! The wet ingredients will emulsify when the flour mixture is added.
4. Reduce mixer speed to low and gradually add dry ingredients, beating just until incorporated (do not overmix or banana bread will become tough). Fold in 4 oz. bittersweet chocolate, chopped.
5. Scrape batter into prepared loaf pan and smooth top. Slice remaining banana lengthwise into 3 equally thick planks and place on top of cake, cut sides up. Sprinkle batter, as well as bananas, with 1 Tbsp. demerara sugar.
6. Bake until a toothpick or tester inserted into the center comes out clean (there may be some melted chocolate residue left on the tester, which is fine), 65–75 minutes.
7. Transfer pan to a wire rack and let banana bread cool completely. Using parchment overhang, lift banana bread from pan and serve.","Makes one 9x5"" loaf","Cook: 65–75 minutes
Total: 1 hour 25 minutes plus cooling","Banana bread can be made 3 days ahead. Cool completely, then store in an airtight container at room temperature or freeze for up to 3 months.",Molly Baz,https://www.bonappetit.com/recipe/blackout-chocolate-banana-bread?utm_campaign=likeshopme&client_service_id=31198&utm_social_type=owned&utm_brand=ba&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&utm_medium=social&client_service_name=bonappetitmag&supported_service_name=instagram_publishing
Soy and Ginger Steamed Fish,"1. 2 6–8-oz. skinless black bass fillets
2. Kosher salt
3. 1 4x3"" piece dried kombu (optional)
4. 2 Tbsp. sake
5. 2 Tbsp. soy sauce
6. 1 Tbsp. mirin (sweet Japanese rice wine)
7. ¼ large or ½ medium head of Napa cabbage, stems thinly sliced crosswise, leaves torn if large (about 5 cups)
8. 4 oz. mixed mushrooms (such as shiitake, oyster, beech, and/or maitake), torn into pieces
9. 1 2"" piece ginger, peeled, cut into thin matchsticks
10. 1 Tbsp. toasted sesame oil
11. 2 scallions, thinly sliced
12. Cooked rice (for serving)","1. Slice fish into six pieces; season all over with salt.
2. Combine kombu (if using), sake, soy sauce, mirin, and ¾ cup water in a medium donabe or Dutch oven with lid. Bring to a boil, then reduce heat to low. Layer cabbage stems, then leaves in pot. Scatter mushrooms and ginger over, then place fish over mushrooms. Cover pot and steam until fish is opaque and just cooked through, 8–10 minutes.
3. Drizzle with sesame oil and top with scallions. Serve in shallow bowls with broth spooned over and rice alongside.",4 servings,Cook: 8–10 minutes,"The kombu, though optional, adds a subtle layer of umami flavor to the delicate broth.",Christina Chaey,https://www.bonappetit.com/recipe/soy-and-ginger-steamed-fish?utm_campaign=likeshopme&client_service_id=31198&utm_social_type=owned&utm_brand=ba&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&utm_medium=social&client_service_name=bonappetitmag&supported_service_name=instagram_publishing
,,,,,"Access to the webpage was denied, so the recipe details could not be extracted.",,https://www.thekitchn.com/slow-cooker-chicken-posole-267147?utm_source=instagram&utm_medium=curalate_like2buy_jFruWRJL__a65e37c4-94c9-4e60-823a-1f1839a17027&utm_campaign=recipe&crl8_id=a65e37c4-94c9-4e60-823a-1f1839a17027
,,,,,"Access to the webpage content was denied, so the recipe details could not be extracted.",,https://www.thekitchn.com/olive-garden-chicken-gnocchi-soup-266944?utm_source=instagram&utm_medium=curalate_like2buy_jFruWRJL__1c5ebf5c-043f-4fe2-be0f-020ea9d4d75e&utm_campaign=recipe&crl8_id=1c5ebf5c-043f-4fe2-be0f-020ea9d4d75e
Pink Grapefruit and Avocado Salad,"1. 2 medium ruby red/pink grapefruits, peeled and supremed or segmented
2. 1 teaspoon finely grated grapefruit zest
3. 1 small shallot, minced or a ¼ of a red onion
4. 1 teaspoon white wine vinegar or white balsamic
5. 2 medium avocados, sliced ¼ inch thick
6. Salt and pepper to taste
7. 2 tablespoons extra-virgin olive oil
8. Chopped fresh chives and chopped pistachios for garnish","1. Supreme or segment the grapefruit: Trim top and bottom; set cut side up. Slice lengthwise between flesh and peel, following fruit’s contour; remove peel and pith. Hold fruit over bowl to catch juice. Slice lengthwise between 1 segment and the membrane until you reach the center of the fruit. Make a similar slice on the other side of the segment. Use the knife blade to remove segment. Repeat. Once all segments are removed, squeeze juice from membrane into the bowl. Discard membrane; reserve and place 2 tablespoons of the juice in a small bowl and save the rest for another use.
2. Whisk together the zest, shallot, olive oil and vinegar and reserved juice, season it with salt and pepper to taste and let the dressing stand for 10 minutes in the fridge while you prep the rest of the salad.
3. Season the avocado with salt and arrange on plates with the grapefruit sections.
4. Drizzle dressing onto the grapefruit and avocado, garnish with the chopped chives and chopped pistachios and serve.",Serves 4,,"Alternative add-ins: crumbled feta, sliced cucumber or fennel for some crunch, pitted olives, fresh chopped mint, leafy greens of choice or endive and radicchio, toasted almonds as an alternative to the pistachios.",Joanne Rappos,https://www.oliveandmango.com/pink-grapefruit-and-avocado-salad/
"Saag Paneer, But With Feta","1. ¼ cup plus 2 Tbsp. ghee or extra-virgin olive oil
2. 2 Tbsp. coriander seeds
3. ¼ tsp. ground cardamom
4. 1 small onion, chopped
5. 1 garlic clove, finely chopped
6. 1 1½"" piece ginger, peeled, chopped
7. 1 lb. baby spinach (about 12 cups)
8. 1 small Indian green chile or serrano chile, coarsely chopped
9. 1½ tsp. fresh lime juice
10. Kosher salt
11. 6 oz. feta, cut into 1"" pieces
12. 1 tsp. cumin seeds
13. ¼ tsp. asafetida (optional)
14. ¼ tsp. red chili powder
15. Roti or rice (for serving)","1. Heat ¼ cup ghee in a large skillet over medium. Cook coriander seeds and cardamom, stirring constantly, until starting to brown, about 2 minutes. Add onion and cook, stirring occasionally, until translucent and slightly browned, about 5 minutes. Mix in garlic and ginger and cook, stirring, 1 minute. Add spinach by the handful, letting it wilt slightly after each addition before adding more. Cook until all of the spinach is just wilted, about 3 minutes. Remove pan from heat and add chile and lime juice; season with salt. Let cool 5 minutes.
2. Transfer spinach mixture to a blender (reserve skillet) and blend until a coarse paste forms, about 1 minute. Return spinach mixture to pan and set over low heat. Stir in ½ cup water, then gently fold in feta, being careful not to break up. Cook until feta is slightly softened and has absorbed some of the sauce, 5–7 minutes.
3. Meanwhile, heat remaining 2 Tbsp. ghee in a small saucepan over medium-high, 1 minute. Add cumin seeds. As soon as cumin seeds start to pop, sputter, and brown, remove from heat, 1 minute tops. Immediately add asafetida, if using, and chili powder. Pour ghee mixture over spinach mixture. Serve with roti or rice.",4 servings,,Spinach mixture (without spiced ghee mixture) can be made 1 day ahead. Let cool; cover and chill.,Priya Krishna,https://www.bonappetit.com/recipe/saag-paneer-but-with-feta
Rice Cake Fundido,"1. Rice cakes
2. Beef broth
3. Gochujang
4. Gochugaru
5. Soy sauce
6. Garlic
7. Toasted sesame oil
8. Onions
9. Jalapeños
10. Oaxaca cheese
11. Chorizo","1. Hydrate rice cakes in beef broth.
2. Mix in a sauce made of gochujang, gochugaru, soy sauce, garlic, and toasted sesame oil.
3. Scatter onions, jalapeños, and Oaxaca cheese over the top.
4. Add crumbled chorizo.
5. Place the dish under the broiler until the top is golden and bubbling.",,,"The dish is a multicultural fusion inspired by Korean, Mexican, Spanish, and Swiss cuisines.",Priya Krishna,http://www.grubstreet.com/2019/03/rice-cake-fundido-haenyeo-korean-restaurant-brooklyn.html
,,,,,,,https://www.halfbakedharvest.com/roasted-chicken-gyros/#bo-recipe
Roasted Salmon With Citrus Salsa Verde,"1. 1 piece of pristine wild Pacific seafood (salmon, cod, bass, or any thicker, higher-fat-content fish)
2. Shallots
3. Citrus zest
4. Olive oil
5. Salt
6. Parsley
7. Cilantro
8. Pimenton
9. Orange juice and zest
10. Lemon juice and zest","1. Preheat your oven to 250 degrees.
2. Lay the fish in a roasting pan.
3. Dress the fish with a simple topping of shaved shallots, citrus zest, olive oil, and salt.
4. Place the pan in the oven and slow-roast the fish for 30 to 50 minutes, depending on the thickness and size of the fish.
5. While the fish cooks, prepare the salsa verde by combining parsley, cilantro, pimenton, orange juice and zest, lemon juice and zest, and salt.
6. Once the fish is ready, remove it from the oven and redistribute the pan juices over top.
7. Serve the fish with a liberal spoonful of salsa verde on each serving.",Serves 4,"Prep: 15 minutes
Cook: 30 to 50 minutes
Total: 45 to 65 minutes",The salsa verde recipe is flexible. You can substitute herbs and citrus as needed.,Emily Fiffer and Heather Sperling,https://www.bonappetit.com/story/salsa-verde-recipe?utm_campaign=likeshopme&client_service_id=31182&utm_social_type=owned&utm_brand=epi&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&utm_medium=social&client_service_name=healthyish&supported_service_name=instagram_publishing
,,,,,,,https://thebigmansworld.com/flourless-paleo-vegan-chocolate-cake-keto-low-carb/#wprm-recipe-container-19221
,,,,,"Access to the webpage content has been denied, so the recipe details are unavailable.",,https://www.thekitchn.com/buffalo-cauliflower-bowl-267487?utm_source=instagram&utm_medium=curalate_like2buy_jFruWRJL__2d2486c3-56df-4fbb-a1e8-07488bd71d61&crl8_id=2d2486c3-56df-4fbb-a1e8-07488bd71d61
Spicy Cashew Dressing,"1. ½ cup salted, roasted cashews
2. ¼ cup vegetable oil
3. 3 Tbsp. unseasoned rice vinegar
4. ¾ tsp. crushed red pepper flakes
5. ¾ tsp. fish sauce
6. ¾ tsp. honey
7. 1 garlic clove
8. Kosher salt","1. Blend cashews, oil, vinegar, red pepper flakes, fish sauce, honey, garlic, and ⅓ cup warm water in a blender until very creamy, smooth, and pourable.
2. Taste dressing and season with salt.",Makes about 1¼ cups,,Dressing can be made 3 days ahead. Cover and chill.,Molly Baz,https://www.bonappetit.com/recipe/spicy-cashew-dressing
Sumac-Rubbed Lamb with Minty Artichokes,"1. 1 4–5-lb. boneless leg of lamb
2. 3 Tbsp. sumac, plus more for serving
3. 5 tsp. Diamond Crystal or 1 Tbsp. Morton kosher salt
4. 1 Tbsp. freshly ground black pepper, plus more
5. 2 heads of garlic, halved crosswise
6. 2 14-oz. cans unmarinated artichoke hearts, drained, halved lengthwise
7. ½ bunch oregano, plus leaves for serving
8. 1 cup dry white wine
9. ¼ cup extra-virgin olive oil
10. 1½ cups mint leaves, divided
11. 1–2 bunches red radishes with tops, quartered, and/or 4–6 watermelon and/or purple radishes, thinly sliced
12. 1 shallot, thinly sliced into rings
13. 2 Tbsp. white wine vinegar
14. 3 Tbsp. toasted sesame seeds
15. Aioli, labneh, or plain whole-milk Greek yogurt (for serving)","1. Place a rack in middle of oven; preheat to 275°. If lamb is tied or trussed, remove any twine or netting. Sprinkle lamb all over with 3 Tbsp. sumac, 5 tsp. Diamond Crystal or 1 Tbsp. Morton kosher salt, and 1 Tbsp. pepper.
2. Reroll lamb so the fattier side is on top (it doesn’t have to be tight; you can just close it back up like a book). Using 3–4 pieces of kitchen twine, tie lamb in 2"" intervals to close. Place bottom halves of both garlic heads, cut side up, in the center of a 13x9"" baking dish and set lamb, fat side up, on top (the garlic acts as a makeshift, better-tasting wire rack). Scatter cloves from remaining top halves of garlic heads around lamb, then tuck artichokes and sprigs from ½ bunch oregano around. Pour in wine and oil; season vegetables with salt and pepper. Roast lamb and artichokes until a thermometer inserted into the thickest part of lamb registers 135° for medium-rare, 2–2½ hours.
3. Remove lamb and artichokes from oven and increase temperature to 500° (taking the lamb out while the oven heats up prevents the meat from overcooking). Once oven temperature is at 500°, slide baking dish back into oven and roast until fat on lamb is golden brown and artichokes are sizzling and starting to crisp around the edges, 10–12 minutes. Carefully transfer lamb to a cutting board and let rest at least 20 minutes.
4. Meanwhile, scatter half of mint leaves over artichokes and toss well to coat. Toss radishes, shallot, and vinegar in a small bowl to combine; season radish salad with salt and pepper.
5. Thinly slice lamb and arrange on a platter or serve directly on cutting board and spoon some of the artichoke mixture and any pan juices over. Scatter sesame seeds, oregano leaves, more sumac, and remaining mint on top.
6. Spoon some aioli into a bowl and serve lamb with radish salad, aioli, and remaining artichoke mixture alongside.
7. Do Ahead: Lamb and artichokes can be roasted 3 hours ahead. Let sit at room temperature. Reheat artichokes just before serving.",6–8 servings,Cook: 2–2½ hours,Lamb and artichokes can be roasted 3 hours ahead. Let sit at room temperature. Reheat artichokes just before serving.,Alison Roman,https://www.bonappetit.com/recipe/sumac-rubbed-lamb-with-minty-artichokes
,,,,,,,https://www.howsweeteats.com/2019/04/nicoise-salad/
Spring Minestrone,"1. Garlic
2. Ground pepper
3. Coriander seeds
4. Fennel seeds
5. Scallions
6. Half a serrano chile
7. Lemon zest
8. Water
9. Leeks
10. Snap peas
11. Cannellini beans
12. Fennel
13. Baby spinach
14. English peas
15. White miso
16. Fennel fronds (optional)","1. Sauté garlic with ground pepper, coriander seeds, and fennel seeds.
2. Add scallions, half a serrano chile, and a few strips of lemon zest.
3. Once the scallions are softened and slightly charred, add six cups of water to create a broth.
4. Add leeks, snap peas, and cannellini beans to the broth.
5. Simmer the vegetables until just tender.
6. Add baby spinach and English peas along with a tablespoon of white miso.
7. Top with chopped fennel fronds before serving.",Not specified,"Prep: Not specified
Cook: Not specified
Total: Not specified","The vegetables shrink as they cook, but the recipe maintains a high broth to mix-ins ratio. Topping with chopped fennel fronds is recommended for maximum spring vibes.",Aliza Abarbanel,https://www.bonappetit.com/story/green-minestrone?utm_campaign=likeshopme&client_service_id=31182&utm_social_type=owned&utm_brand=epi&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&utm_medium=social&client_service_name=healthyish&supported_service_name=instagram_publishing
